Libellé émission;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode
Central Park 2 Toulouse 31;44.289084;6.569334;Le Central Park 04260 Allos;0.41;locality;04006_XXXX_57b643;;Le Central Park;;04260;Allos;04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur;04006
2-10 rue Nationale Lille 59;50.637071;3.062359;10 Rue Nationale 59800 Lille;0.77;housenumber;ADRNIVX_0000000327398993;10;Rue Nationale;;59800;Lille;59, Nord, Hauts-de-France (Nord-Pas-de-Calais);59350
Boulevard de la Saussaye Neuilly 92;48.891691;2.267867;Boulevard de la Saussaye 92200 Neuilly-sur-Seine;0.7;street;92051_XXXX_7bb55d;;Boulevard de la Saussaye;;92200;Neuilly-sur-Seine;92, Hauts-de-Seine, Île-de-France;92051
15 Rue Fenelon Paris 10;48.879063;2.351409;15 Rue Fénelon 75010 Paris;0.81;housenumber;ADRNIVX_0000000270732477;15;Rue Fénelon;;75010;Paris;75, Paris, Île-de-France;75110
69 rue de la Victoire Paris 9;48.875181;2.333361;69 Rue de la Victoire 75009 Paris;0.88;housenumber;ADRNIVX_0000000270739073;69;Rue de la Victoire;;75009;Paris;75, Paris, Île-de-France;75109
dornbusch 2/4 Hambourg;46.033781;-1.38343;Impasse des Quatre Tambours 17650 Saint-Denis-d'Oléron;0.11;street;17323_XXXX_b597a2;;Impasse des Quatre Tambours;;17650;Saint-Denis-d'Oléron;17, Charente-Maritime, Nouvelle-Aquitaine (Poitou-Charentes);17323
Avenue Pierre Mend‚s France - Elements;48.335465;-2.459801;LA METAIRIE D'EN HAUT S-GO (Le Gouray) 22330 Le Mené;0.22;locality;22046_XXXX_f91ff4;;LA METAIRIE D'EN HAUT S-GO (Le Gouray);;22330;Le Mené;22, Côtes-d'Armor, Bretagne;22046
26 rue Marbeuf Paris 8;48.868984;2.304422;26 Rue Marbeuf 75008 Paris;0.86;housenumber;ADRNIVX_0000000270751140;26;Rue Marbeuf;;75008;Paris;75, Paris, Île-de-France;75108
90 rue Ledru Rollin Paris 11;48.85145;2.3764;90 Avenue Ledru-Rollin 75011 Paris;0.66;housenumber;ADRNIVX_0000000270784772;90;Avenue Ledru-Rollin;;75011;Paris;75, Paris, Île-de-France;75111
17/19 Rue Daunou Paris 2;48.869916;2.330594;19 Rue Daunou 75002 Paris;0.74;housenumber;ADRNIVX_0000000270749038;19;Rue Daunou;;75002;Paris;75, Paris, Île-de-France;75102
34 rue Patou Lille 59;50.634828;3.050437;34 Rue Patou 59800 Lille;0.81;housenumber;ADRNIVX_0000000358706405;34;Rue Patou;;59800;Lille;59, Nord, Hauts-de-France (Nord-Pas-de-Calais);59350
